umidità temperatura co2 tvoc classe
67 24.800000 405 0 0
67 24.400000 400 0 0
68 24.600000 405 0 0
67 25.800000 400 0 0
67 24.300000 400 0 0
68 24.600000 408 1 0
67 25.800000 408 1 0
68 24.500000 400 0 0
68 24.500000 406 0 0
70 26.100000 406 0 0
69 25.800000 400 0 0
69 25.300000 403 0 0
69 25.800000 413 1 0
69 25.200000 400 0 0
69 25.700000 405 0 0
70 25.600000 408 1 0
69 25.500000 405 0 0
69 25.700000 408 1 0
70 25.600000 407 1 0
72 26.000000 402 0 0
70 25.900000 407 1 0
70 25.900000 400 0 0
71 26.100000 400 0 0
71 25.700000 407 1 0
72 26.000000 411 1 0
71 25.900000 425 3 0
72 26.000000 420 3 0
71 25.800000 435 5 0
73 26.000000 414 2 0
76 26.100000 436 5 0
75 26.000000 432 4 0
77 26.000000 416 2 0
77 26.000000 409 1 0
75 26.100000 421 3 0
77 26.000000 436 5 0
77 26.100000 436 5 0
78 26.100000 416 2 0
78 26.200000 416 2 0
82 26.100000 416 2 0
82 26.200000 416 2 0
80 26.200000 421 3 0
79 26.200000 427 4 0
79 26.100000 436 5 0
80 26.100000 436 5 0
80 26.200000 414 2 0
81 26.100000 416 2 0
83 26.300000 416 2 0
83 26.100000 414 2 0
84 26.400000 414 2 0
84 26.200000 416 2 0
85 26.100000 414 2 0
85 26.300000 414 2 0
84 26.400000 416 2 0
83 26.200000 414 2 0
83 26.100000 409 1 0
83 26.200000 421 3 0
83 26.400000 421 3 0
83 26.400000 451 7 0
84 26.500000 409 1 0
80 26.300000 433 5 0
36 31.5 3014 2884 1
36 31.5 3718 4390 1
33 31.5 2888 2619 1
33 31.5 2927 2691 1
33 31.5 2461 1688 1
33 31.5 3782 4520 1
32 31.4 4019 5048 1
32 31.4 2996 2841 1
34 31.5 2715 2257 1
34 31.5 2363 1490 1
34 31.5 2150 1031 1
34 31.5 5412 8004 1
33 31.5 6996 11389 1
33 31.5 6626 10595 1
37 31.5 8988 15644 1
37 31.5 5351 7872 1
36 31.5 7090 11586 1
36 31.5 4379 5794 1
35 31.6 4196 5409 1
35 31.6 10481 18849 1
34 31.6 6902 11174 1
34 31.6 4337 5708 1
34 31.5 5995 9246 1
34 31.5 6384 10056 1
34 31.5 5081 7285 1
34 31.5 5591 8407 1
32 31.7 7983 13534 1
32 31.7 4895 6889 1
33 31.6 6143 9559 1
33 31.6 5240 7641 1
33 31.5 5854 8946 1
33 31.5 7624 12716 1
33 31.6 5721 8671 1
33 31.6 5412 8004 1
33 31.5 4986 7099 1
33 31.5 6384 10056 1
33 31.6 6453 10244 1
36 31.7 6626 10595 1
36 31.7 5081 7285 1
36 31.5 4132 5266 1
36 31.5 3497 3912 1
35 31.6 7090 11586 1
35 31.6 5290 7751 1
37 31.7 4301 5627 1
37 31.7 5781 8802 1
38 31.8 6453 10244 1
38 31.8 4132 5266 1
